Population,B*14:02,B*15:03,B*46:01,A*24:02
ACB,0.00520,0.06250,0.00000,0.01560
CLM,0.04400,0.00000,0.00000,0.16300
PEL,0.02410,0.00000,0.00000,0.12350
PUR,0.06440,0.01980,0.00000,0.12610
BEB,0.00000,0.00000,0.00000,0.12790
ITU,0.00000,0.00000,0.00000,0.15840
PJL,0.00000,0.00000,0.00000,0.08940
STU,0.00000,0.00000,0.00000,0.17670
Benin,0.00000,0.04350,0.00000,0.00000
GWD,0.02290,0.08720,0.00000,0.00910
LWK,0.01010,0.04550,0.00000,0.00500
MSL,0.01180,0.05880,0.00000,0.00580
 YRI + ESN,0.00000,0.06500,0.00000,0.00500
CDX + CHB + CHS,0.00000,0.00000,0.19030,0.15280
JPT,0.00000,0.00000,0.04850,0.38830
KHV,0.00000,0.00000,0.11110,0.09590
FIN,0.00000,0.00000,0.00000,0.05550
GBR,0.03300,0.00550,0.00000,0.07770
IBS,0.01870,0.00000,0.00000,0.09810
TSI,0.01400,0.00000,0.00000,0.12610
Brazil,0.04410,0.02120,0.00170,0.09180
